As of Date,Company,Account,AU,Currency,Primary Account,Secondary Account,GL Balance,IHub Balance,Balance Difference,Match Status,Anomaly,Comments
2024-01-28,2222,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,48064,48615,-551,break,Yes,Inconsistent variations in outstanding balances
2024-02-27,2222,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,45196,45722,-526,break,Yes,Inconsistent variations in outstanding balances
2023-09-30,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,16231,16231,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,20756,20756,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,22241,22241,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,43029,43029,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,23532,23532,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1623456,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,42843,34247,8596,break,Yes,Sudden drop in IHub balance
2023-09-30,1111,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,29631,29631,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,27359,27359,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,38541,38541,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,45216,45216,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,11135,11135,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,48037,59283,-11246,break,Yes,Huge spike in outstanding balances
2023-09-30,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,20847,20847,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,48212,48212,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,16777,16777,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,35097,35097,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,23594,23594,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,25147,35108,-9961,break,Yes,Huge spike in outstanding balances
2023-09-30,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,12024,12024,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,46468,46468,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,48338,48338,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,42774,42774,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,33444,33444,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,49847,55778,-5931,break,Yes,Huge spike in outstanding balances
2023-09-30,2222,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,33490,33490,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,25203,25203,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,16720,16720,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,42386,42386,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,29973,29973,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1634789,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,13487,21858,-8371,break,Yes,Huge spike in outstanding balances
2023-09-30,0000,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,43224,43224,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,13819,13819,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,16777,16777,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,38285,38285,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,29614,29614,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1634789,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,11494,11494,0,match,No,Outstanding balances are in line with previous months
2023-09-30,1111,1634789,6783,USD,ALL OTHER LOANS,DEFERRED COSTS,16227,16227,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1634789,6783,USD,ALL OTHER LOANS,DEFERRED COSTS,39638,39638,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1634789,6783,USD,ALL OTHER LOANS,DEFERRED COSTS,43263,43263,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1634789,6783,USD,ALL OTHER LOANS,DEFERRED COSTS,20990,20990,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1634789,6783,USD,ALL OTHER LOANS,DEFERRED COSTS,27217,27217,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1634789,6783,USD,ALL OTHER LOANS,DEFERRED COSTS,41111,41111,0,match,No,Outstanding balances are in line with previous months
2023-09-30,2222,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,47933,47933,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,22381,22381,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,47241,47241,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,46138,46138,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,37264,37264,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,25258,17548,7710,break,Yes,Sudden drop in IHub balance
2023-09-30,0000,1623456,4398,USD,ALL OTHER LOANS,PRINCIPAL,25679,25679,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1623456,4398,USD,ALL OTHER LOANS,PRINCIPAL,21137,21137,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1623456,4398,USD,ALL OTHER LOANS,PRINCIPAL,40912,40912,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1623456,4398,USD,ALL OTHER LOANS,PRINCIPAL,30713,30713,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1623456,4398,USD,ALL OTHER LOANS,PRINCIPAL,33650,33650,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1623456,4398,USD,ALL OTHER LOANS,PRINCIPAL,30347,17025,13322,break,Yes,Sudden drop in IHub balance
2023-09-30,2222,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,34849,34849,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,18720,18720,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,14140,14140,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,42748,42748,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,46140,46140,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1623456,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,43238,43238,0,match,No,Outstanding balances are in line with previous months
2023-09-30,1111,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,42895,42895,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,21379,21379,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,32217,32217,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,19132,19132,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,26125,26125,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,14538,20265,-5727,break,Yes,Huge spike in outstanding balances
2023-09-30,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,30879,30879,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,31020,31020,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,36683,36683,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,35543,35543,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,34669,34669,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,24126,17206,6920,break,Yes,Sudden drop in IHub balance
2023-09-30,2222,1623456,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,40575,40575,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1623456,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,38088,38088,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1623456,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,48823,48823,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1623456,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,36733,36733,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1623456,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,35985,35985,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1623456,4398,USD,ALL OTHER LOANS,DEFERRED COSTS,29900,42598,-12698,break,Yes,Huge spike in outstanding balances
2023-09-30,2222,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,49380,49380,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,28196,28196,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,20816,20816,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,48869,48869,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,11289,11289,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1634789,5402,EUR,ALL OTHER LOANS,DEFERRED COSTS,46212,37621,8591,break,Yes,Sudden drop in IHub balance
2023-09-30,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,49063,49063,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,16858,16858,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,49343,49343,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,15910,15910,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,29173,29173,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1634789,4398,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,27679,27679,0,match,No,Outstanding balances are in line with previous months
2023-09-30,2222,1634789,6783,EUR,ALL OTHER LOANS,PRINCIPAL,43610,43610,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1634789,6783,EUR,ALL OTHER LOANS,PRINCIPAL,35687,35687,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1634789,6783,EUR,ALL OTHER LOANS,PRINCIPAL,23695,23695,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1634789,6783,EUR,ALL OTHER LOANS,PRINCIPAL,12511,12511,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1634789,6783,EUR,ALL OTHER LOANS,PRINCIPAL,30515,30515,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1634789,6783,EUR,ALL OTHER LOANS,PRINCIPAL,14100,14100,0,match,No,Outstanding balances are in line with previous months
2023-09-30,2222,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,29040,29040,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,13419,13419,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,12427,12427,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,28657,28657,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,34440,34440,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1634789,5402,USD,ALL OTHER LOANS,PRINCIPAL,37880,37880,0,match,No,Outstanding balances are in line with previous months
2023-09-30,1111,1619205,5402,EUR,ALL OTHER LOANS,PRINCIPAL,27863,27863,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1619205,5402,EUR,ALL OTHER LOANS,PRINCIPAL,32075,32075,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1619205,5402,EUR,ALL OTHER LOANS,PRINCIPAL,22258,22258,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1619205,5402,EUR,ALL OTHER LOANS,PRINCIPAL,47572,47572,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1619205,5402,EUR,ALL OTHER LOANS,PRINCIPAL,19389,19389,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1619205,5402,EUR,ALL OTHER LOANS,PRINCIPAL,24020,24020,0,match,No,Outstanding balances are in line with previous months
2023-09-30,2222,1634789,6783,USD,ALL OTHER LOANS,PRINCIPAL,43219,42423,796,break,Yes,Inconsistent variations in outstanding balances
2023-10-30,2222,1634789,6783,USD,ALL OTHER LOANS,PRINCIPAL,39638,39942,-304,break,Yes,Inconsistent variations in outstanding balances
2023-11-29,2222,1634789,6783,USD,ALL OTHER LOANS,PRINCIPAL,10467,10031,436,break,Yes,Inconsistent variations in outstanding balances
2023-12-29,2222,1634789,6783,USD,ALL OTHER LOANS,PRINCIPAL,49136,49402,-266,break,Yes,Inconsistent variations in outstanding balances
2024-01-28,2222,1634789,6783,USD,ALL OTHER LOANS,PRINCIPAL,28646,29086,-440,break,Yes,Inconsistent variations in outstanding balances
2024-02-27,2222,1634789,6783,USD,ALL OTHER LOANS,PRINCIPAL,42484,42519,-35,break,Yes,Inconsistent variations in outstanding balances
2023-09-30,2222,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,34488,34283,205,break,Yes,Inconsistent variations in outstanding balances
2023-10-30,2222,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,18072,18010,62,break,Yes,Inconsistent variations in outstanding balances
2023-11-29,2222,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,24179,23975,204,break,Yes,Inconsistent variations in outstanding balances
2023-12-29,2222,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,34090,34510,-420,break,Yes,Inconsistent variations in outstanding balances
2024-01-28,2222,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,27005,26905,100,break,Yes,Inconsistent variations in outstanding balances
2024-02-27,2222,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,20444,21054,-610,break,Yes,Inconsistent variations in outstanding balances
2023-09-30,1111,1619205,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,15690,15690,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1619205,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,49862,49862,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1619205,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,21912,21912,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1619205,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,14360,14360,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1619205,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,13469,13469,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1619205,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,34688,48813,-14125,break,Yes,Huge spike in outstanding balances
2023-09-30,2222,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,29167,29167,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,10447,10447,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,35984,35984,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,17008,17008,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,41307,41307,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1619205,6783,USD,ALL OTHER LOANS,PRINCIPAL,48475,48475,0,match,No,Outstanding balances are in line with previous months
2023-09-30,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,45039,45039,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,27809,27809,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,42532,42532,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,13067,13067,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,40512,40512,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1619205,4398,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,18397,11147,7250,break,Yes,Sudden drop in IHub balance
2023-09-30,2222,1623456,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,41310,41310,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1623456,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,35948,35948,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1623456,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,16983,16983,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1623456,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,48299,48299,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1623456,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,32845,32845,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1623456,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,34107,34107,0,match,No,Outstanding balances are in line with previous months
2023-09-30,1111,1623456,6783,EUR,ALL OTHER LOANS,PRINCIPAL,15339,15339,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1623456,6783,EUR,ALL OTHER LOANS,PRINCIPAL,12297,12297,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1623456,6783,EUR,ALL OTHER LOANS,PRINCIPAL,34768,34768,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1623456,6783,EUR,ALL OTHER LOANS,PRINCIPAL,49583,49583,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1623456,6783,EUR,ALL OTHER LOANS,PRINCIPAL,44444,44444,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1623456,6783,EUR,ALL OTHER LOANS,PRINCIPAL,32456,46406,-13950,break,Yes,Huge spike in outstanding balances
2023-09-30,1111,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,13542,13542,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,16233,16233,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,24476,24476,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,19120,19120,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,49460,49460,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1634789,4398,USD,ALL OTHER LOANS,PRINCIPAL,48354,48354,0,match,No,Outstanding balances are in line with previous months
2023-09-30,1111,1623456,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,28456,28456,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1623456,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,17346,17346,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1623456,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,25137,25137,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1623456,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,36073,36073,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1623456,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,13181,13181,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1623456,6783,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,31529,25684,5845,break,Yes,Sudden drop in IHub balance
2023-09-30,2222,1623456,5402,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,25001,25001,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1623456,5402,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,16890,16890,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1623456,5402,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,23000,23000,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1623456,5402,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,17595,17595,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1623456,5402,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,41791,41791,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1623456,5402,USD,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,34971,34971,0,match,No,Outstanding balances are in line with previous months
2023-09-30,2222,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,41209,41209,0,match,No,Outstanding balances are in line with previous months
2023-10-30,2222,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,44654,44654,0,match,No,Outstanding balances are in line with previous months
2023-11-29,2222,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,19948,19948,0,match,No,Outstanding balances are in line with previous months
2023-12-29,2222,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,24250,24250,0,match,No,Outstanding balances are in line with previous months
2024-01-28,2222,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,15366,15366,0,match,No,Outstanding balances are in line with previous months
2024-02-27,2222,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED COSTS,14229,14229,0,match,No,Outstanding balances are in line with previous months
2023-09-30,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,34225,34225,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,24730,24730,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,34996,34996,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,27129,27129,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,19316,19316,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1634789,5402,USD,ALL OTHER LOANS,DEFERRED COSTS,34105,34105,0,match,No,Outstanding balances are in line with previous months
2023-09-30,1111,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,28006,28006,0,match,No,Outstanding balances are in line with previous months
2023-10-30,1111,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,13624,13624,0,match,No,Outstanding balances are in line with previous months
2023-11-29,1111,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,49416,49416,0,match,No,Outstanding balances are in line with previous months
2023-12-29,1111,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,19081,19081,0,match,No,Outstanding balances are in line with previous months
2024-01-28,1111,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,23552,23552,0,match,No,Outstanding balances are in line with previous months
2024-02-27,1111,1623456,6783,USD,ALL OTHER LOANS,PRINCIPAL,47795,61318,-13523,break,Yes,Huge spike in outstanding balances
2023-09-30,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,16988,16988,0,match,No,Outstanding balances are in line with previous months
2023-10-30,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,36105,36105,0,match,No,Outstanding balances are in line with previous months
2023-11-29,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,20695,20695,0,match,No,Outstanding balances are in line with previous months
2023-12-29,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,48731,48731,0,match,No,Outstanding balances are in line with previous months
2024-01-28,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,47059,47059,0,match,No,Outstanding balances are in line with previous months
2024-02-27,0000,1623456,6783,EUR,ALL OTHER LOANS,DEFERRED ORIGINATION FEES,10171,10171,0,match,No,Outstanding balances are in line with previous months
